Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
637266d171048c62964f01fa,60baaa995c09d3162511871d,APPROVED,2022-11-14T16:03:32.809000Z,2022-11-14T16:07:55.472000Z,2022-11-14T16:07:56.107000,2022-11-14T16:07:56.004741Z,263,C170RZ4V,794,English,36,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
637266d1b879e8c1625e74d2,60e35afc1d7e1aee451eba47,APPROVED,2022-11-14T16:03:35.227000Z,2022-11-14T16:07:57.643000Z,2022-11-14T16:07:58.112000,2022-11-14T16:07:58.024111Z,263,C170RZ4V,564,English,46,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
637266d2fb8d3ae78a899581,55a56724fdf99b7973398109,APPROVED,2022-11-14T16:03:33.587000Z,2022-11-14T16:07:02.799000Z,2022-11-14T16:07:03.263000,2022-11-14T16:07:03.209925Z,210,C170RZ4V,1671,English,28,Female,White,United States,United States,United States,English,No,Full-Time
637266d4e97dbe4ffb99d62f,60566620bb888e88b6c157ee,APPROVED,2022-11-14T16:03:35.618000Z,2022-11-14T16:06:51.741000Z,2022-11-14T16:06:52.380000,2022-11-14T16:06:52.278680Z,197,C170RZ4V,2885,English,28,Male,White,United States,United States,United States,English,No,Full-Time
637266dea4837ef224f42f2d,62c08fa6cab36e3a08790b49,APPROVED,2022-11-14T16:03:44.802000Z,2022-11-14T16:07:21.939000Z,2022-11-14T16:07:22.428000,2022-11-14T16:07:22.345026Z,218,C170RZ4V,566,English,67,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
637266df1c76fe563a23db9a,63651901ac9c3c69c48c4e8a,APPROVED,2022-11-14T16:03:51.468000Z,2022-11-14T16:07:06.808000Z,2022-11-14T16:07:12.259000,2022-11-14T16:07:07.186174Z,196,C170RZ4V,31,English,20,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
637266e3247418354642d4b0,605ff0746397c26c436b88af,APPROVED,2022-11-14T16:03:49.584000Z,2022-11-14T16:06:05.361000Z,2022-11-14T16:06:05.865000,2022-11-14T16:06:05.769697Z,136,C170RZ4V,1971,English,33,Female,Asian,China,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
637266e67d61dfe6f94f01de,5d4b1b0d323d840017900e10,APPROVED,2022-11-14T16:03:53.197000Z,2022-11-14T16:08:05.015000Z,2022-11-14T16:08:05.350000,2022-11-14T16:08:05.291978Z,252,C170RZ4V,274,"English, Swedish",26,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED
637266e9165991938d2f3f83,6157a19a19a618c6119bf7d7,APPROVED,2022-11-14T16:04:04Z,2022-11-14T16:07:40.595000Z,2022-11-14T16:07:41.061000,2022-11-14T16:07:40.997303Z,217,C170RZ4V,1378,English,52,Male,White,United States,United States,United States,English,No,Full-Time
637266ec18b18c3da8c435de,5a6d3a19e6cc4a0001b6c47a,APPROVED,2022-11-14T16:03:58.521000Z,2022-11-14T16:07:08.577000Z,2022-11-14T16:07:08.957000,2022-11-14T16:07:08.897523Z,191,C170RZ4V,3828,English,54,Male,White,United States,United States,United States,English,No,Full-Time
637266f6afe0c0a05923dbd4,56b4b565b2de2a000d3316ba,APPROVED,2022-11-14T16:04:06.217000Z,2022-11-14T16:07:46.708000Z,2022-11-14T16:07:47.132000,2022-11-14T16:07:47.076919Z,221,C170RZ4V,1340,English,32,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
637266fa3588a81e1b23dbe9,5dda993086c886a06ce9108d,APPROVED,2022-11-14T16:04:14.472000Z,2022-11-14T16:07:54.010000Z,2022-11-14T16:07:59.473000,2022-11-14T16:07:54.787802Z,220,C170RZ4V,3409,English,75,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
637266fde980d68f449eb449,62e7c7dfe2d1a825e4e88dec,APPROVED,2022-11-14T16:04:16.920000Z,2022-11-14T16:09:25.276000Z,2022-11-14T16:09:25.670000,2022-11-14T16:09:25.612893Z,309,C170RZ4V,684,English,32,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
637267053183f8a870cb86b5,5c1b97f889f0350001726def,APPROVED,2022-11-14T16:04:26.373000Z,2022-11-14T16:09:37.012000Z,2022-11-14T16:09:37.420000,2022-11-14T16:09:37.367602Z,311,C170RZ4V,2866,English,60,Female,White,United States,United States,United States,English,No,Part-Time
637267094f9782e13a2f3f56,607dd554d9ec5e0fd85237cb,APPROVED,2022-11-14T16:04:29.547000Z,2022-11-14T16:07:23.885000Z,2022-11-14T16:07:24.302000,2022-11-14T16:07:24.242225Z,175,C170RZ4V,107,English,40,Male,White,United States,United States,United States,English,No,Full-Time
6372670bc6c618a6fb0bded3,5623f187ed6e5a0011c81083,APPROVED,2022-11-14T16:05:57.460000Z,2022-11-14T16:11:22.198000Z,2022-11-14T16:11:22.652000Z,2022-11-14T16:11:23.732719Z,325,C170RZ4V,2605,English,37,Male,White,United States,United States,United States,English,No,Full-Time
6372670ddf5deec32703de65,5e13ad514c81b2a01ae4aa9f,APPROVED,2022-11-14T16:04:32.026000Z,2022-11-14T16:07:36.102000Z,2022-11-14T16:07:36.589000,2022-11-14T16:07:36.534480Z,185,C170RZ4V,2811,English,35,Female,White,United States,United States,United States,English,No,Other
637267103c6315771c863e8d,613747afa1b97f29cbae831b,APPROVED,2022-11-14T16:04:37.443000Z,2022-11-14T16:09:11.523000Z,2022-11-14T16:09:11.943000,2022-11-14T16:09:11.858301Z,275,C170RZ4V,849,English,39,Female,White,United States,United States,United States,English,No,Part-Time
6372671152649d6d3b99994d,610075fa5484c42a0afefc8c,APPROVED,2022-11-14T16:04:35.899000Z,2022-11-14T16:07:51.659000Z,2022-11-14T16:07:55.196000,2022-11-14T16:07:52.264909Z,196,C170RZ4V,220,English,20,Female,Black,Nigeria,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63726716bf99ffad36863e66,5669ac845bd4ff0011159b4a,APPROVED,2022-11-14T16:04:40.174000Z,2022-11-14T16:08:42.115000Z,2022-11-14T16:08:42.519000Z,2022-11-14T16:08:42.681525Z,242,C170RZ4V,4334,English,42,Female,Mixed,United States,United States,United States,English,No,Full-Time
63726720674a62635499d5f8,60bc8860d04f4ac80d319a5c,APPROVED,2022-11-14T16:04:51.887000Z,2022-11-14T16:08:34.721000Z,2022-11-14T16:08:35.103000,2022-11-14T16:08:35.018705Z,223,C170RZ4V,2340,English,72,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6372672193765147e83f2e41,602a8f9033061909d48b1d04,APPROVED,2022-11-14T16:04:51.107000Z,2022-11-14T16:08:17.164000Z,2022-11-14T16:08:17.535000,2022-11-14T16:08:17.475679Z,207,C170RZ4V,551,"English, French, Japanese",20,Female,White,United States,United States,United States,English,No,Full-Time
63726726a9a344eb7223db94,5a381de00006450001bf2691,APPROVED,2022-11-14T16:04:59.484000Z,2022-11-14T16:07:28.281000Z,2022-11-14T16:07:28.862000,2022-11-14T16:07:28.784647Z,149,C170RZ4V,2262,English,34,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6372672ea5cb75f2da9eb453,59e62b6277860e0001512e14,APPROVED,2022-11-14T16:05:06.338000Z,2022-11-14T16:09:52.593000Z,2022-11-14T16:09:52.973000,2022-11-14T16:09:52.926748Z,287,C170RZ4V,2796,"English, French, Spanish",69,Male,Mixed,Cuba,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6372672edd53e9ca0af5d9f6,608bfa04767191aa4d57bfd8,APPROVED,2022-11-14T16:05:07.285000Z,2022-11-14T16:10:21.167000Z,2022-11-14T16:10:21.638000Z,2022-11-14T16:10:22.293222Z,314,C170RZ4V,2569,English,39,Female,White,United States,United States,United States,English,No,Full-Time
6372673c5be462ff2dea7595,627286792f25495f123cc27b,APPROVED,2022-11-14T16:05:16.649000Z,2022-11-14T16:08:21.617000Z,2022-11-14T16:08:31.894000,2022-11-14T16:08:21.985843Z,185,C170RZ4V,1091,English,44,Male,Other,United States,United States,United States,English,Yes,Unemployed (and job seeking)
6372674379a3e1a8a7f42594,5a4636c92f91ec0001dcba07,APPROVED,2022-11-14T16:05:25.539000Z,2022-11-14T16:08:14.937000Z,2022-11-14T16:08:15.349000,2022-11-14T16:08:15.286044Z,170,C170RZ4V,916,English,31,Female,White,United States,United States,United States,English,No,Full-Time
63726747138bdd89ae1c0ec0,5e3b8f110d41ad3a7bc35019,APPROVED,2022-11-14T16:06:14.910000Z,2022-11-14T16:10:42.897000Z,2022-11-14T16:10:48.450000,2022-11-14T16:10:43.345788Z,268,C170RZ4V,2639,English,30,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
637267488818426674c435b5,5c7c3c7b896a0b00171c2302,APPROVED,2022-11-14T16:05:31.828000Z,2022-11-14T16:08:47.037000Z,2022-11-14T16:08:47.530000,2022-11-14T16:08:47.433176Z,196,C170RZ4V,885,English,31,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6372674da08e684ca1bcdb27,5c2854db89f035000174b3d0,APPROVED,2022-11-14T16:05:37.204000Z,2022-11-14T16:08:29.396000Z,2022-11-14T16:08:30.191000,2022-11-14T16:08:30.186411Z,173,C170RZ4V,2204,English,50,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6372674ed3b7a1ab0abcdb43,5eecf79232fae00d585cd6f4,APPROVED,2022-11-14T16:05:39.757000Z,2022-11-14T16:08:21.472000Z,2022-11-14T16:08:26.899000,2022-11-14T16:08:21.837780Z,162,C170RZ4V,1251,"English, Hebrew",22,Female,Other,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
637267506f0f41dd07c43578,60f8b9a76a790915df2557ff,APPROVED,2022-11-14T16:05:39.671000Z,2022-11-14T16:09:25.923000Z,2022-11-14T16:09:26.310000,2022-11-14T16:09:26.250480Z,227,C170RZ4V,959,English,46,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63726753a0f8ff212f7584e0,5b32599cc8e94a00018f22a5,APPROVED,2022-11-14T16:05:41.187000Z,2022-11-14T16:07:06.762000Z,2022-11-14T16:07:07.187000,2022-11-14T16:07:07.106267Z,86,C170RZ4V,3790,English,32,Male,Asian,United States,United States,United States,English,No,Full-Time
63726753afe0c0a05923dbe3,5ee81189280cdb1163476b2b,APPROVED,2022-11-14T16:05:53.626000Z,2022-11-14T16:08:21.437000Z,2022-11-14T16:08:21.850000,2022-11-14T16:08:21.762110Z,148,C170RZ4V,1079,English,30,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
6372675430dee9872b03deae,565bff58c121fe0005fc390d,APPROVED,2022-11-14T16:05:40.768000Z,2022-11-14T16:10:21.721000Z,2022-11-14T16:10:22.137000,2022-11-14T16:10:22.057849Z,281,C170RZ4V,866,English,42,Female,Black,United States,United States,United States,English,No,Full-Time
637267550c510756503feb2a,54847f1cfdf99b07b28f22f9,APPROVED,2022-11-14T16:08:35.149000Z,2022-11-14T16:21:33.110000Z,2022-11-14T16:21:33.591000,2022-11-14T16:21:33.498190Z,778,C170RZ4V,3579,English,49,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
